Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12/21/2009,3.886196327,4.017114218,3.88160261,4.001036644,42779200,0,0
12/22/2009,4.001037968,4.148033481,3.996444248,4.106690884,79304400,0,0
12/23/2009,4.145737647,4.175596392,4.092911176,4.164112091,44219600,0,0
12/24/2009,4.175596652,4.182486795,4.138847762,4.154925346,13681200,0,0
12/28/2009,4.148034445,4.184783332,4.046975225,4.088317394,46576000,0,0
12/29/2009,4.074535642,4.150330257,4.065348642,4.138846397,47584800,0,0
12/30/2009,4.17789316,4.313404844,4.148034416,4.28813982,70400800,0,0
12/31/2009,4.29732641,4.352450172,4.285842548,4.290436268,70034000,0,0
1/4/2010,4.251390328,4.276655348,4.159518124,4.246796608,80020400,0,0
1/5/2010,4.23071782,4.35474515,4.23071782,4.30880928,72864800,0,0
1/6/2010,4.306513597,4.345559338,4.265170997,4.336371899,64916800,0,0
1/7/2010,4.313403393,4.33177783,4.219234348,4.251389503,54779200,0,0
1/8/2010,4.216938652,4.290436421,4.19167363,4.260577679,47816800,0,0
1/11/2010,4.283544774,4.301919212,4.141142992,4.200860023,55661200,0,0
1/12/2010,4.13884764,4.154925224,3.971180781,4.058459282,62743200,0,0
1/13/2010,4.086020216,4.127362378,3.927540397,4.113581657,50886800,0,0
1/14/2010,4.063052266,4.092910568,3.980367062,4.049271107,60852400,0,0
1/15/2010,4.019412567,4.053864587,3.877010329,3.929837227,81819200,0,0
1/19/2010,3.899979894,4.028601458,3.888496029,4.00333643,54532800,0,0
1/20/2010,3.952807385,4.003337455,3.899980893,3.987259865,71972800,0,0
1/21/2010,3.984960879,4.056161784,3.879307512,3.916056395,60863200,0,0
1/22/2010,3.8701203,3.941321202,3.757576797,3.780544519,106791600,0,0
1/25/2010,3.842558449,3.918353071,3.814997007,3.844855309,64367600,0,0
1/26/2010,3.82648052,3.851745538,3.720827606,3.723124027,71463600,0,0
1/27/2010,3.720828111,3.837964901,3.679485508,3.824184179,81250400,0,0
1/28/2010,3.854042908,3.86782363,3.642736395,3.695563078,68776400,0,0
1/29/2010,3.736905529,3.778248129,3.479662922,3.534786463,77470000,0,0
2/1/2010,3.548567115,3.812700077,3.518708595,3.805809498,94983200,0,0
2/2/2010,3.792028847,3.893088489,3.780544547,3.844855309,84981200,0,0
2/3/2010,3.810403633,3.893088843,3.792029191,3.877010822,56229600,0,0
2/4/2010,3.842557649,3.842557649,3.61058033,3.651922703,78348000,0,0
2/5/2010,3.647329928,3.73460863,3.583019387,3.72542119,60485600,0,0
